m.z,mode,t.score,p.value
304.15144,negative,-1.79,7.50E-06
304.15143,negative,-0.82,8.92E-05
305.01805,negative,-1.01,0.210146922
305.01807,negative,-0.13,0.399709785
305.09658,negative,-1.44,0.033413776
307.03374,negative,-0.48,0.005012551
307.11217,negative,-4.86,0.009788369
308.09872,negative,-1.45,1.96E-05
308.12525,negative,-0.66,0.001924954
309.03974,negative,0.38,0.027565097
309.10926,negative,0.36,0.06435661
310.14085,negative,-0.29,0.452279447
313.04425,negative,0.09,0.970970653
313.15178,negative,0.07,0.741363258
357.10917,negative,-0.35,0.141578358
314.11471,negative,-0.12,0.981993488
314.13575,negative,-1.49,0.14380215
314.13579,negative,0.42,0.171035949
315.08106,negative,0.89,0.000196831
315.13102,negative,2.14,0.49064582
315.29052,negative,-1.77,2.66E-05
316.07869,negative,-0.12,0.730383802
316.11506,negative,-0.28,0.237848847
317.1103,negative,-0.6,0.000424558
317.12557,negative,1.69,0.004680827
318.14936,negative,0.4,0.09913768
318.16713,negative,1.04,0.999724036
319.10822,negative,-0.36,0.93803011
320.09207,negative,-1.62,4.85E-06
320.14637,negative,-4.71,2.92E-06
320.16171,negative,0.1,0.620417466
321.04938,negative,-0.21,0.488674297
321.10923,negative,-0.15,0.48965662
323.02862,negative,-0.85,0.001547081
326.27013,negative,1.07,0.128070046
329.08692,negative,0.85,0.002177784
329.17594,negative,-2.31,0.76306095
330.2035,negative,-0.34,0.126945219
331.12598,negative,-1.54,0.052964778
664.11742,negative,-0.91,0.018265092
350.13562,negative,-0.02,0.483487765
332.18279,negative,0.16,0.251972333
333.05926,negative,-1.06,4.83E-05
333.09154,negative,-1.3,0.003115545
333.10521,negative,-0.89,0.023658938
334.10787,negative,-0.28,0.031915979
334.12563,negative,-0.88,0.000420668
334.17729,negative,0.45,0.247269982
338.98866,negative,-1.11,7.79E-05
339.32673,negative,1.41,0.161080294
341.10885,negative,-3.47,1.01E-05
341.30611,negative,-0.9,0.004554008
343.3217,negative,-1.41,0.000305276
345.14148,negative,-0.87,3.81E-05
345.14145,negative,-0.34,0.000441182
345.14154,negative,-0.68,0.003878955
345.14146,negative,-0.28,0.021654935
346.05571,negative,-1.39,1.28E-05
346.07134,negative,0.1,0.95733655
347.10298,negative,-0.95,0.017265797
347.12075,negative,-0.38,0.846366966
348.087,negative,-1.2,0.000938249
349.12027,negative,-0.04,0.160898868
350.06214,negative,-1.67,1.26E-05
352.11495,negative,-0.85,7.85E-05
355.09315,negative,-0.18,0.389058433
355.12589,negative,-0.13,0.538975844
356.09212,negative,1.27,0.424518152
358.12541,negative,0.28,0.233909067
359.12484,negative,-0.29,0.38482784
360.17753,negative,0.75,0.227990719
361.00708,negative,-1.2,0.097015758
