m.z,mode,p.value,t.score
332.14525,positive,2.50E-06,2.74
332.14518,positive,0.000997279,3.21
664.11661,positive,0.000224075,-0.74
333.09044,positive,0.049309339,-0.87
336.14022,positive,2.07E-06,-2.09
335.10605,positive,0.374105864,-0.63
335.10607,positive,0.590642257,-0.27
336.08746,positive,0.002858657,-0.59
338.1712,positive,1.18E-07,4.62
338.18236,positive,6.42E-14,4.12
339.28937,positive,6.05E-05,0.9
340.15367,positive,0.001539402,-0.75
342.26391,positive,0.000414265,0.81
342.30026,positive,0.384670523,0.11
343.04011,positive,0.000879065,-0.65
343.15348,positive,0.860577991,0.17
343.16463,positive,0.000874707,-0.67
344.25438,positive,2.07E-08,5.52
344.27954,positive,0.004320286,0.48
344.31596,positive,0.776401803,0.19
346.16088,positive,1.24E-08,4.98
364.12853,positive,0.021400487,-0.91
347.14971,positive,0.467151944,-0.17
349.13534,positive,0.002598873,3.84
351.10095,positive,0.381588459,-0.38
352.16486,positive,0.275199934,-0.19
353.11657,positive,0.197681145,-0.53
353.11659,positive,0.58069407,-0.36
353.11655,positive,0.036199382,-0.82
358.19727,positive,2.39E-07,6.96
360.14016,positive,1.25E-06,8.46
358.2702,positive,1.45E-08,4
361.18309,positive,1.45E-13,6.31
359.13504,positive,0.305083738,-0.27
361.20814,positive,1.13E-09,5.28
362.13803,positive,7.04E-06,4.89
360.14012,positive,0.000216732,1.68
381.10758,positive,0.000593913,-0.91
361.0874,positive,0.002055609,-0.66
361.27375,positive,0.000367732,0.71
362.0838,positive,0.00586748,-0.68
369.35159,positive,0.071964333,0.84
370.29521,positive,0.000676056,1.21
373.20818,positive,3.92E-07,7.12
373.20817,positive,1.79E-12,6.58
373.20813,positive,5.45E-07,4.72
374.15581,positive,4.05E-08,8.76
372.31081,positive,0.002627221,0.69
744.08305,positive,0.001099612,-0.59
375.19866,positive,7.28E-08,3.67
375.22382,positive,6.61E-09,4.08
375.22381,positive,8.73E-07,6.92
374.21467,positive,0.000108814,1.72
377.17796,positive,1.30E-11,5.13
375.22382,positive,1.34E-12,5.86
378.16601,positive,1.14E-06,4.16
381.14551,positive,0.002219653,-0.87
382.17213,positive,6.85E-07,3.31
384.15139,positive,1.24E-05,3.74
385.27376,positive,0.001317836,0.8
386.32652,positive,0.007929079,0.69
389.13205,positive,0.001685855,-0.97
387.28937,positive,0.000729011,0.91
389.30496,positive,0.009888893,0.93
390.1984,positive,1.18E-09,5.6
391.18241,positive,3.05E-06,4.3
391.19367,positive,1.80E-07,6.11
391.19372,positive,1.90E-07,5.26
391.21877,positive,7.62E-13,5.15
398.32651,positive,0.000655842,1.18
399.14455,positive,0.000855724,-0.5
401.21429,positive,2.05E-09,4.27
401.23957,positive,9.40E-09,5.73
400.34212,positive,0.01285242,0.56
403.19359,positive,3.37E-07,5.32
403.22998,positive,0.014060128,1.51
403.22998,positive,0.000953838,4.62
401.34161,positive,0.397621031,0.28
403.23001,positive,0.016119604,3.07
405.19836,positive,0.000839125,1.53
408.32375,positive,0.228614734,0.31
414.35786,positive,0.007562178,0.52
417.24573,positive,9.10E-06,4.16
416.33704,positive,0.794440686,0.08
419.18852,positive,8.17E-07,5.12
419.1886,positive,4.63E-09,3.32
419.22496,positive,5.55E-12,5.2
419.21377,positive,1.67E-07,3.9
852.18035,positive,0.028645194,-0.99
426.35784,positive,0.000728308,1.07
428.37341,positive,0.465744258,0.15
433.20421,positive,1.97E-06,4.04
440.40987,positive,0.007779028,0.72
445.24044,positive,3.25E-07,5.45
452.2772,positive,0.795519757,-0.08
454.29288,positive,0.664086126,0.01
456.40477,positive,0.610128529,0.21
458.18172,positive,0.021628374,-0.43
459.25624,positive,4.53E-06,3.31
468.30845,positive,0.45948938,-0.16
470.14391,positive,0.000551626,-0.79
468.30853,positive,0.999999844,0.05
472.25151,positive,4.09E-09,3.27
474.35782,positive,0.00905935,0.79
496.33983,positive,0.993973261,0.11
480.3449,positive,0.352766939,0.23
482.36059,positive,0.962218108,0.05
482.32432,positive,0.991056077,0.13
489.11474,positive,0.042727303,-0.45
510.3555,positive,0.316936692,0.17
499.2069,positive,1.87E-10,3.45
506.20275,positive,0.15503954,-0.32
506.36058,positive,0.120948798,0.32
508.00307,positive,0.063897721,-0.44
508.37623,positive,0.052591329,0.37
508.37621,positive,0.540867648,0.23
510.39185,positive,0.622449753,0
513.22239,positive,1.27E-06,2.89
522.35548,positive,0.280011606,0.26
526.29299,positive,0.543763313,0.19
538.08359,positive,0.001903953,-0.7
536.37117,positive,0.243109212,0.25
542.3236,positive,0.086822653,0.57
547.24722,positive,0.000427707,2.52
547.47225,positive,0.019983871,0.81
548.37131,positive,0.714429685,0.1
550.38689,positive,0.256339912,0.26
549.48796,positive,0.000366054,0.51
552.40265,positive,0.01517518,0.28
559.15825,positive,0.000157114,-0.92
560.07915,positive,0.000225007,-0.85
568.3399,positive,0.735125009,0.27
570.35561,positive,0.459695184,0.34
573.48795,positive,0.00355451,0.39
577.51925,positive,0.930223899,0.27
577.51945,positive,0.884526121,0.3
578.41815,positive,0.127479106,0.34
580.43397,positive,0.998778599,0.19
602.34863,positive,0.027799707,0.91
606.4495,positive,0.014055571,0.45
613.15941,positive,0.021493262,-0.65
636.49657,positive,0.987022721,-0.13
638.57277,positive,0.003845847,1.28
647.51254,positive,0.530182594,0.25
650.47527,positive,0.00471094,1.25
662.51254,positive,0.107953047,0.27
664.11668,positive,0.013099896,-1.21
664.52765,positive,0.613610826,0.09
675.54385,positive,0.615874128,0.09
678.50705,positive,0.054208076,0.23
676.49077,positive,0.000304123,1.06
676.52858,positive,0.795308697,-0.01
688.49127,positive,0.974427016,0.65
690.50723,positive,0.013652344,0.33
706.53849,positive,0.271514535,0.09
690.54339,positive,0.265782356,0.06
692.55926,positive,0.983762275,0.02
692.52296,positive,0.215368544,0.15
700.52801,positive,0.891042895,0.06
702.50813,positive,0.286358515,0.43
703.5751,positive,0.892874577,-0.1
704.52274,positive,0.002804118,0.63
716.5228,positive,0.001469045,0.4
716.55909,positive,0.012628813,0.39
717.55417,positive,0.830777665,0.15
718.53937,positive,0.00185352,0.31
718.53815,positive,0.741126945,0.51
738.50732,positive,0.005296636,0.5
718.57475,positive,0.008427311,0.32
724.52795,positive,0.025468785,0.2
742.53897,positive,0.935608677,0.42
725.42912,positive,0.128419636,-5.74
730.5386,positive,0.010181442,0.31
729.5907,positive,0.893330843,0.08
734.49701,positive,0.001000979,0.78
732.55406,positive,0.002061912,0.45
736.49129,positive,0.003625978,0.49
744.55414,positive,0.299733069,0.16
760.58526,positive,0.011944929,0.28
744.59038,positive,0.009941813,0.26
762.50753,positive,0.006208913,0.51
764.52278,positive,0.004536984,0.43
746.60595,positive,0.206477798,0.21
746.57023,positive,0.006131537,0.3
756.55423,positive,0.004360441,0.44
758.56972,positive,0.001600455,0.54
774.60144,positive,0.192913946,0.17
760.51269,positive,0.00410963,0.65
764.55778,positive,0.030994163,0.49
764.55904,positive,0.003998795,0.51
766.57475,positive,0.00454184,0.44
768.59054,positive,0.004490832,0.38
770.569,positive,0.396316706,-1.55
772.62159,positive,0.039234748,0.28
774.52872,positive,0.007994145,0.62
792.55427,positive,0.026300608,0.42
776.55949,positive,0.022679462,0.28
780.55416,positive,0.021351494,0.39
784.51114,positive,0.027606409,0.34
786.60103,positive,0.001587825,0.47
792.59049,positive,0.005281723,0.4
794.60626,positive,0.003489382,0.42
814.56017,positive,0.613734984,0.14
802.55967,positive,0.714122761,0.25
