Query.Mass,Matched.Compound,Matched.Form,Mass.Diff
179.0561,C00137,M-H [1-],2.4000000024671e-05
579.02681,C00167,M-H [1-],0.000214000000028136
338.98866,C00354,M-H [1-],0.000164000000040687
338.98866,C00665,M-H [1-],0.000164000000040687
338.98866,C03785,M-H [1-],0.000164000000040687
338.98866,C01231,M-H [1-],0.000164000000040687
338.98866,C01220,M-H [1-],0.000164000000040687
338.98866,C04063,M-H [1-],0.000164000000040687
338.98866,C04062,M-H [1-],0.000164000000040687
243.0809,C00120,M-H [1-],2.39999999962492e-05
146.04588,C00025,M-H [1-],4.40000000025975e-05
146.04588,C05938,M-H [1-],4.40000000025975e-05
146.04588,C00217,M-H [1-],4.40000000025975e-05
241.01188,C00085,M-H2O-H [1-],0.000570000000010396
241.01188,C00668,M-H2O-H [1-],0.000570000000010396
241.01188,C00103,M-H2O-H [1-],0.000570000000010396
241.01188,C01172,M-H2O-H [1-],0.000570000000010396
241.01188,C00275,M-H2O-H [1-],0.000570000000010396
241.01188,C00636,M-H2O-H [1-],0.000570000000010396
241.01188,C01094,M-H2O-H [1-],0.000570000000010396
241.01188,C01097,M-H2O-H [1-],0.000570000000010396
241.01188,C00446,M-H2O-H [1-],0.000570000000010396
241.01188,C00092,M-H2O-H [1-],0.000570000000010396
241.01188,C03546,M-H2O-H [1-],0.000570000000010396
241.01188,C04006,M-H2O-H [1-],0.000570000000010396
241.01188,C01177,M-H2O-H [1-],0.000570000000010396
565.04754,C00029,M-H [1-],0.000183999999876505
565.04754,C00052,M-H [1-],0.000183999999876505
558.06425,C00301,M-H [1-],0.000173999999901753
89.02442,C00186,M-H [1-],3.99999998990097e-06
89.02442,C00577,M-H [1-],3.99999998990097e-06
89.02442,C01013,M-H [1-],3.99999998990097e-06
89.02442,C00184,M-H [1-],3.99999998990097e-06
89.02442,C00256,M-H [1-],3.99999998990097e-06
175.03603,C00438,M-H [1-],6.00000001327317e-06
505.98827,C00002,M-H [1-],0.000154000000009091
505.98827,C00286,M-H [1-],0.000154000000009091
288.12012,C21016,M-H [1-],4.00000004674439e-06
784.1499,C00016,M-H [1-],7.60000000354921e-05
300.04899,C00357,M-H [1-],3.40000000278451e-05
300.04899,C04501,M-H [1-],3.40000000278451e-05
300.04899,C18060,M-H [1-],3.40000000278451e-05
300.04899,C04257,M-H [1-],3.40000000278451e-05
402.99482,C00015,M-H [1-],0.000104000000021642
87.00877,C00022,M-H [1-],4.5999999997548e-05
87.00877,C00222,M-H [1-],4.5999999997548e-05
480.98195,C00459,M-H [1-],7.40000000405416e-05
290.08815,C00270,M-H2O-H [1-],0.000540000000000873
426.02206,C00008,M-H [1-],6.40000000089458e-05
426.02206,C00361,M-H [1-],6.40000000089458e-05
426.02206,C00054,M-H [1-],6.40000000089458e-05
521.98338,C00044,M-H [1-],4.39999998889107e-05
521.98338,C05922,M-H2O-H [1-],0.00056999999992513
521.98338,C21310,M-H [1-],4.39999998889107e-05
348.087,C14871,M-H [1-],0.000124000000027991
362.05066,C00144,M-H [1-],6.40000000089458e-05
362.05066,C18239,M-H [1-],6.40000000089458e-05
195.05101,C00257,M-H [1-],1.40000000214968e-05
195.05101,C00800,M-H [1-],1.40000000214968e-05
323.02862,C00105,M-H [1-],4.00000004674439e-06
151.02616,C00385,M-H [1-],3.59999999943739e-05
133.01426,C00149,M-H [1-],3.59999999943739e-05
808.11823,C00024,M-H [1-],0.000293999999939842
243.02751,C02985,M-H [1-],1.39999999930751e-05
133.05064,C01801,M-H [1-],1.59999999880256e-05
128.03531,C04281,M-H [1-],1.39999999930751e-05
128.03531,C02237,M-H [1-],1.39999999930751e-05
128.03531,C04282,M-H [1-],1.39999999930751e-05
128.03531,C01879,M-H [1-],1.39999999930751e-05
402.01086,C00112,M-H [1-],6.40000000089458e-05
482.96114,C00075,M-H [1-],8.40000000152941e-05
229.01187,C00117,M-H [1-],5.40000000341934e-05
229.01187,C00620,M-H [1-],5.40000000341934e-05
229.01187,C00199,M-H [1-],5.40000000341934e-05
229.01187,C00231,M-H [1-],5.40000000341934e-05
766.1079,C00010,M-H [1-],2.39999999394058e-05
481.97723,C00063,M-H [1-],5.99999998485146e-06
289.03301,C05382,M-H [1-],1.40000000214968e-05
192.06662,C16595,M-H [1-],4.00000001832268e-06
192.06662,C16587,M-H [1-],4.00000001832268e-06
275.01735,C00345,M-H [1-],2.59999999911997e-05
307.03374,C00365,M-H [1-],1.60000000164473e-05
129.05574,C00671,M-H [1-],1.59999999880256e-05
129.05574,C00233,M-H [1-],1.59999999880256e-05
378.09756,C03451,M-H [1-],6.40000000089458e-05
836.14989,C00136,M-H [1-],6.60000000607397e-05
836.14989,C00630,M-H [1-],6.60000000607397e-05
231.09864,C21015,M-H [1-],1.59999999880256e-05
181.05064,C05583,M-H [1-],1.59999999880256e-05
181.05064,C05582,M-H [1-],1.59999999880256e-05
498.28944,C05465,M-H [1-],8.40000000152941e-05
514.28451,C05122,M-H [1-],8.60000000102445e-05
171.0064,C00093,M-H [1-],2.39999999962492e-05
465.30435,C18043,M-H [1-],7.39999999836982e-05
188.05644,C00624,M-H [1-],1.59999999880256e-05
283.0684,C01762,M-H [1-],2.39999999962492e-05
440.13236,C00504,M-H [1-],6.40000000089458e-05
309.03974,C19586,M-H2O-H [1-],0.000169999999968695
309.03974,C16756,M-H2O-H [1-],0.000169999999968695
309.03974,C19595,M-H2O-H [1-],0.000169999999968695
309.03974,C19585,M-H2O-H [1-],0.000169999999968695
288.1201,C21016,M-H [1-],2.40000000530927e-05
375.13114,C00255,M-H [1-],0.000115999999991345
204.06663,C05660,M-H [1-],5.99999998485146e-06
184.98566,C00631,M-H [1-],3.59999999943739e-05
184.98566,C00197,M-H [1-],3.59999999943739e-05
227.20165,C06424,M-H [1-],2.59999999911997e-05
303.08342,C12270,M-H [1-],4.00000004674439e-06
586.05929,C01222,M-H [1-],3.39999999141583e-05
586.05929,C00096,M-H2O-H [1-],0.000480000000038672
147.02987,C02266,M-H [1-],5.40000000341934e-05
147.02987,C02630,M-H [1-],5.40000000341934e-05
166.97508,C00074,M-H [1-],4.40000000310192e-05
304.03401,C00055,M-H2O-H [1-],0.00050000000004502
235.03943,C05844,M-H2O-H [1-],0.000520000000022947
460.32803,C01747,M-H [1-],5.99999998485146e-06
460.32803,C03108,M-H [1-],5.99999998485146e-06
160.06152,C00956,M-H [1-],4.00000001832268e-06
283.26422,C01530,M-H [1-],3.99999998990097e-06
130.05098,C00430,M-H [1-],5.60000000007221e-05
130.05098,C01157,M-H [1-],5.60000000007221e-05
130.05098,C01165,M-H [1-],5.60000000007221e-05
130.05098,C05147,M-H [1-],5.60000000007221e-05
130.05098,C03440,M-H [1-],5.60000000007221e-05
130.05098,C01110,M-H [1-],5.60000000007221e-05
255.23295,C00249,M-H [1-],2.5999999962778e-05
164.07169,C00079,M-H [1-],3.40000000278451e-05
305.01805,C00105,M-H2O-H [1-],0.000540000000000873
