Query.Mass,Matched.Compound,Matched.Form,Mass.Diff,Pathway.Name,Pathway.ID,Pathway.Compound.Total,Pathway.Match.By,Matched.Compound.Name,p.value,t.score,pos_inx,Feature.ID
565.04754,C00029,M-H [1-],0.000183999999876505,Amino sugar and nucleotide sugar metabolism,"",39,Matched.Compound,Uridine diphosphate glucose,0.006365154,-0.39,FALSE,565.04754
565.04754,C00052,M-H [1-],0.000183999999876505,Amino sugar and nucleotide sugar metabolism,"",39,Matched.Compound,Uridine diphosphategalactose,0.006365154,-0.39,FALSE,565.04754
579.02681,C00167,M-H [1-],0.000214000000028136,Amino sugar and nucleotide sugar metabolism,"",39,Matched.Compound,Uridine diphosphate glucuronic acid,0.005318042,-0.83,FALSE,579.02681
586.05929,C01222,M-H [1-],3.39999999141583e-05,Amino sugar and nucleotide sugar metabolism,"",39,Matched.Compound,GDP-4-Dehydro-6-deoxy-D-mannose,0.59663851,-0.41,FALSE,586.05929
586.05929,C00096,M-H2O-H [1-],0.000480000000038672,Amino sugar and nucleotide sugar metabolism,"",39,Matched.Compound,Guanosine diphosphate mannose,0.59663851,-0.41,FALSE,586.05929
588.07495,C00325,M-H [1-],2.60000000480431e-05,Amino sugar and nucleotide sugar metabolism,"",39,Matched.Compound,GDP-L-fucose,0.010646129,-0.37,FALSE,588.07495
604.06993,C00096,M-H [1-],6.00000009853829e-06,Amino sugar and nucleotide sugar metabolism,"",39,Matched.Compound,Guanosine diphosphate mannose,0.001152402,-0.8,FALSE,604.06993
606.07411,C00043,M-H [1-],0.000213999999914449,Amino sugar and nucleotide sugar metabolism,"",39,Matched.Compound,Uridine diphosphate-N-acetylglucosamine,0.000375671,-0.75,FALSE,606.07411
606.07411,C00203,M-H [1-],0.000213999999914449,Amino sugar and nucleotide sugar metabolism,"",39,Matched.Compound,Uridine diphosphate-N-acetylgalactosamine,0.000375671,-0.75,FALSE,606.07411
104.07061,C00334,M+H [1+],3.39999999994234e-05,Arginine and proline metabolism,"",35,Matched.Compound,gamma-Aminobutyric acid,0.000735898,-0.34,TRUE,104.07061
114.06617,C00300,M-H2O+H [1+],6.46677000304408e-06,Arginine and proline metabolism,"",35,Matched.Compound,Creatine,0.453819119,-0.1,TRUE,114.06617
116.07059,C00148,M+H [1+],1.39999999930751e-05,Arginine and proline metabolism,"",35,Matched.Compound,Proline,0.002531811,-0.43,TRUE,116.07059
116.07059,C00763,M+H [1+],1.39999999930751e-05,Arginine and proline metabolism,"",35,Matched.Compound,D-Proline,0.002531811,-0.43,TRUE,116.07059
128.03531,C04281,M-H [1-],1.39999999930751e-05,Arginine and proline metabolism,"",35,Matched.Compound,Pyrroline hydroxycarboxylic acid,0.029570355,-0.35,FALSE,128.03531
128.0706,C02946,M-H2O+H [1+],2.35332300064783e-05,Arginine and proline metabolism,"",35,Matched.Compound,4-Acetamidobutanoic acid,0.3068359,-0.2,TRUE,128.0706
128.07061,C02946,M-H2O+H [1+],3.35332299812308e-05,Arginine and proline metabolism,"",35,Matched.Compound,4-Acetamidobutanoic acid,0.019529904,-0.42,TRUE,128.07061
130.05097,C01157,M-H [1-],4.5999999997548e-05,Arginine and proline metabolism,"",35,Matched.Compound,4-Hydroxyproline,1.3e-05,1.58,FALSE,130.05097
130.05097,C01165,M-H [1-],4.5999999997548e-05,Arginine and proline metabolism,"",35,Matched.Compound,L-Glutamic gamma-semialdehyde,1.3e-05,1.58,FALSE,130.05097
130.05097,C05147,M-H [1-],4.5999999997548e-05,Arginine and proline metabolism,"",35,Matched.Compound,Trans-3-hydroxy-L-proline,1.3e-05,1.58,FALSE,130.05097
130.05098,C01157,M-H [1-],5.60000000007221e-05,Arginine and proline metabolism,"",35,Matched.Compound,4-Hydroxyproline,8.55e-06,1.73,FALSE,130.05098
130.05098,C01165,M-H [1-],5.60000000007221e-05,Arginine and proline metabolism,"",35,Matched.Compound,L-Glutamic gamma-semialdehyde,8.55e-06,1.73,FALSE,130.05098
130.05098,C05147,M-H [1-],5.60000000007221e-05,Arginine and proline metabolism,"",35,Matched.Compound,Trans-3-hydroxy-L-proline,8.55e-06,1.73,FALSE,130.05098
131.11789,C02714,M+H [1+],1.39999999930751e-05,Arginine and proline metabolism,"",35,Matched.Compound,N-Acetylputrescine,0.019520974,-0.39,TRUE,131.11789
132.06552,C01157,M+H [1+],4.40000000025975e-05,Arginine and proline metabolism,"",35,Matched.Compound,4-Hydroxyproline,0.150808536,-0.1,TRUE,132.06552
132.06552,C01165,M+H [1+],4.40000000025975e-05,Arginine and proline metabolism,"",35,Matched.Compound,L-Glutamic gamma-semialdehyde,0.150808536,-0.1,TRUE,132.06552
132.06552,C05147,M+H [1+],4.40000000025975e-05,Arginine and proline metabolism,"",35,Matched.Compound,Trans-3-hydroxy-L-proline,0.150808536,-0.1,TRUE,132.06552
132.07675,C00300,M+H [1+],2.59999999911997e-05,Arginine and proline metabolism,"",35,Matched.Compound,Creatine,0.00144468,-0.54,TRUE,132.07675
146.04588,C00025,M-H [1-],4.40000000025975e-05,Arginine and proline metabolism,"",35,Matched.Compound,Glutamic acid,4.78e-07,2.79,FALSE,146.04588
146.04588,C05938,M-H [1-],4.40000000025975e-05,Arginine and proline metabolism,"",35,Matched.Compound,L-4-Hydroxyglutamate semialdehyde,4.78e-07,2.79,FALSE,146.04588
146.08119,C02946,M+H [1+],1.39999999930751e-05,Arginine and proline metabolism,"",35,Matched.Compound,4-Acetamidobutanoic acid,0.11346052,-0.31,TRUE,146.08119
146.09246,C01035,M+H [1+],8.39999999868724e-05,Arginine and proline metabolism,"",35,Matched.Compound,4-Guanidinobutanoic acid,0.00014771,-0.75,TRUE,146.09246
148.06045,C00025,M+H [1+],2.59999999911997e-05,Arginine and proline metabolism,"",35,Matched.Compound,Glutamic acid,9.56e-05,-0.55,TRUE,148.06045
148.06045,C05938,M+H [1+],2.59999999911997e-05,Arginine and proline metabolism,"",35,Matched.Compound,L-4-Hydroxyglutamate semialdehyde,9.56e-05,-0.55,TRUE,148.06045
