id	Num_In_Path_Metab	Num_In_Path_Gene	Num_In_Path	Pval_Metab	Pval_combined	Pval	Pval_combined_FDR	Pval_FDR	Pval_combined_Holm	Pval_Holm	Total_In_Path_Metab	Total_In_Path_Gene	Total_In_Path	analytes	pathwayName	pathwaySource	pathwayId	cluster_assignment	metabCount	geneCount	pathCount	OR
			3			0.000002037241		0.000016		0.009791			5	GDP  |  GTP  |  Phosphate	Cargo trafficking to the periciliary membrane	reactome	R-HSA-5620920	Did not cluster			3/5	0.003868
			5			0.000001012202		0.00001		0.005041			31	AMP  |  Glutathione  |  GDP  |  ADP  |  Phosphate	TP53 Regulates Metabolic Genes	reactome	R-HSA-5628897	15			5/31	0.029474
			6			2.612438e-9		9.793978e-8		0.000014			22	AMP  |  Argininosuccinic acid  |  Ornithine  |  L-Arginine  |  ADP  |  Phosphate	Urea cycle	reactome	R-HSA-70635	2			6/22	0.01493
			5			1.636314e-7		0.000002312237		0.000838			22	Carnosine  |  beta-alanine  |  S-Adenosylmethionine  |  ADP  |  Phosphate	Histidine catabolism	reactome	R-HSA-70921	1			5/22	0.019248
			5			0.000001634526		0.000015		0.007996			34	L-Lysine  |  NADP  |  Aminoadipic acid  |  GDP  |  Phosphate	Lysine catabolism	reactome	R-HSA-71064	Did not cluster			5/34	0.032872
			6			1.811794e-10		1.215253e-8		9.848912e-7			15	Creatine  |  Ornithine  |  L-Arginine  |  S-Adenosylmethionine  |  ADP  |  Phosphate	Creatine metabolism	reactome	R-HSA-71288	22			6/15	0.008379
			4			8.120601e-7		0.000008524311		0.00405			13	AMP  |  GDP  |  ADP  |  Phosphate	Insulin receptor signalling cascade	reactome	R-HSA-74751	23			4/13	0.012924
			4			0.00000153624		0.000014		0.007521			15	AMP  |  GDP  |  ADP  |  Phosphate	Signaling by Insulin receptor	reactome	R-HSA-74752	23			4/15	0.015788
			9			1.782219e-14		6.547873e-12		9.796859e-11			26	AMP  |  UTP  |  UMP  |  GDP  |  ADP  |  dTTP  |  GMP  |  Phosphate  |  CDP	Phosphate bond hydrolysis by NTPDase proteins	reactome	R-HSA-8850843	8, 21			9/26	0.010194
			3			0.000002037241		0.000016		0.009791			5	GDP  |  GTP  |  Phosphate	TBC/RABGAPs	reactome	R-HSA-8854214	24			3/5	0.003868
			5			2.791527e-8		5.635204e-7		0.000146			16	AMP  |  UTP  |  UMP  |  ADP  |  Phosphate	Glycogen metabolism	reactome	R-HSA-8982491	Did not cluster			5/16	0.01248
			4			4.085293e-8		8.012118e-7		0.000214			7	GDP  |  GTP  |  ADP  |  Phosphate	Rab regulation of trafficking	reactome	R-HSA-9007101	24			4/7	0.004347
			6			6.380277e-8		0.000001156635		0.000332			36	AMP  |  Glutathione  |  S-Adenosylmethionine  |  GDP  |  ADP  |  Phosphate	Azathioprine ADME	reactome	R-HSA-9748787	Did not cluster			6/36	0.027988
			4			0.000009609555		0.000054		0.043512			23	AMP  |  UTP  |  S-Adenosylmethionine  |  ADP	Maternal to zygotic transition (MZT)	reactome	R-HSA-9816359	Did not cluster			4/23	0.027234
			4			0.000002654293		0.00002		0.012711			17	AMP  |  S-Adenosylmethionine  |  ADP  |  Phosphate	Respiratory Syncytial Virus Infection Pathway	reactome	R-HSA-9820952	Did not cluster			4/17	0.018676
			4			5.647621e-7		0.000006159215		0.002856			12	GDP  |  GTP  |  ADP  |  Phosphate	Antigen Presentation: Folding, assembly and peptide loading of class I MHC	reactome	R-HSA-983170	Did not cluster			4/12	0.011462
			5			0.000001634526		0.000015		0.007996			34	beta-alanine  |  L-Lysine  |  Ornithine  |  Taurine  |  L-Arginine	Amino acid transport across the plasma membrane	reactome	R-HSA-352230	Did not cluster			5/34	0.032872
			9			1.511473e-10		1.125639e-8		8.219389e-7			65	Pantothenic acid  |  Palmitic acid  |  UMP  |  Linoleic acid  |  Myristic acid  |  ADP  |  GMP  |  biotin  |  GDP-L-fucose	Transport of vitamins, nucleosides, and related molecules	reactome	R-HSA-425397	Did not cluster			9/65	0.033519
			3			0.000004056894		0.000027		0.019104			6	AMP  |  UMP  |  GMP	Removal of the Flap Intermediate from the C-strand	reactome	R-HSA-174437	10			3/6	0.005839
			5			8.321108e-10		4.047133e-8		0.000004493399			9	AMP  |  GDP  |  GTP  |  ADP  |  Phosphate	Translocation of SLC2A4 (GLUT4) to the plasma membrane	reactome	R-HSA-1445148	17			5/9	0.004575
			3			0.000002037241		0.000016		0.009791			5	GDP  |  GTP  |  ADP	Intra-Golgi traffic	reactome	R-HSA-6811438	Did not cluster			3/5	0.003868
			5			2.791527e-8		5.635204e-7		0.000146			16	AMP  |  Palmitic acid  |  Linoleic acid  |  ADP  |  Niacinamide	Mitochondrial biogenesis	reactome	R-HSA-1592230	25			5/16	0.01248
			4			0.00000153624		0.000014		0.007521			15	Palmitic acid  |  Linoleic acid  |  ADP  |  Niacinamide	Transcriptional activation of mitochondrial biogenesis	reactome	R-HSA-2151201	25			4/15	0.015788
			3			0.000002037241		0.000016		0.009791			5	GDP  |  ADP  |  Phosphate	SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion	reactome	R-HSA-399955	19			3/5	0.003868
			4			1.457361e-7		0.000002110086		0.000749			9	S-Adenosylmethionine  |  GDP  |  GMP  |  Phosphate	mRNA Capping	reactome	R-HSA-72086	26			4/9	0.007195
			3			0.000007068924		0.000042		0.032369			7	GDP  |  ADP  |  Phosphate	NCAM signaling for neurite out-growth	reactome	R-HSA-375165	Did not cluster			3/7	0.00775
			3			0.000004056894		0.000027		0.019104			6	GDP  |  ADP  |  Phosphate	trans-Golgi Network Vesicle Budding	reactome	R-HSA-199992	27			3/6	0.005839
			3			0.000004056894		0.000027		0.019104			6	GDP  |  ADP  |  Phosphate	Lysosome Vesicle Biogenesis	reactome	R-HSA-432720	27			3/6	0.005839
			3			0.000002037241		0.000016		0.009791			5	GDP  |  ADP  |  Phosphate	Golgi Associated Vesicle Biogenesis	reactome	R-HSA-432722	27			3/5	0.003868
			3			0.000007068924		0.000042		0.032369			7	GDP  |  ADP  |  Phosphate	Recycling pathway of L1	reactome	R-HSA-437239	17			3/7	0.00775
			3			0.000004056894		0.000027		0.019104			6	GDP  |  ADP  |  Phosphate	COPI-mediated anterograde transport	reactome	R-HSA-6807878	17			3/6	0.005839
