Query.Mass,Matched.Compound,Matched.Form,Mass.Diff,Pathway.Name,Pathway.ID,Pathway.Compound.Total,Pathway.Match.By,Matched.Compound.Name,p.value,t.score,pos_inx,Feature.ID
116.07059,C00148,M+H [1+],1.39999999930751e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,Proline,0.000192438,-0.67,TRUE,116.07059
128.03531,C04281,M-H [1-],1.39999999930751e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,Pyrroline hydroxycarboxylic acid,0.002510792,-0.68,FALSE,128.03531
128.0706,C02946,M-H2O+H [1+],2.35332300064783e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,4-Acetamidobutanoic acid,0.010645162,-0.71,TRUE,128.0706
128.07061,C02946,M-H2O+H [1+],3.35332299812308e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,4-Acetamidobutanoic acid,0.591044686,0.16,TRUE,128.07061
130.05097,C01165,M-H [1-],4.5999999997548e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,L-Glutamic gamma-semialdehyde,0.638338765,-0.13,FALSE,130.05097
130.05097,C01157,M-H [1-],4.5999999997548e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,4-Hydroxyproline,0.638338765,-0.13,FALSE,130.05097
130.05098,C01165,M-H [1-],5.60000000007221e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,L-Glutamic gamma-semialdehyde,0.172958473,0.22,FALSE,130.05098
130.05098,C01157,M-H [1-],5.60000000007221e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,4-Hydroxyproline,0.172958473,0.22,FALSE,130.05098
131.11789,C02714,M+H [1+],1.39999999930751e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,N-Acetylputrescine,0.000649582,-0.71,TRUE,131.11789
132.03023,C00049,M-H [1-],5.99999998485146e-06,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,L-Aspartic acid,4.41e-07,2.78,FALSE,132.03023
132.06552,C01165,M+H [1+],4.40000000025975e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,L-Glutamic gamma-semialdehyde,0.974431175,0.13,TRUE,132.06552
132.06552,C01157,M+H [1+],4.40000000025975e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,4-Hydroxyproline,0.974431175,0.13,TRUE,132.06552
145.01429,C00026,M-H [1-],6.59999999754746e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,Oxoglutaric acid,1.02e-06,-1.31,FALSE,145.01429
146.04588,C00025,M-H [1-],4.40000000025975e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,Glutamic acid,0.000116605,1.04,FALSE,146.04588
146.04588,C05938,M-H [1-],4.40000000025975e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,L-4-Hydroxyglutamate semialdehyde,0.000116605,1.04,FALSE,146.04588
146.08119,C02946,M+H [1+],1.39999999930751e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,4-Acetamidobutanoic acid,0.000364995,-1.29,TRUE,146.08119
147.07642,C00064,M+H [1+],4.40000000310192e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,Glutamine,0.854322998,0.14,TRUE,147.07642
148.06045,C00025,M+H [1+],2.59999999911997e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,Glutamic acid,0.001100992,-0.39,TRUE,148.06045
148.06045,C05938,M+H [1+],2.59999999911997e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,L-4-Hydroxyglutamate semialdehyde,0.001100992,-0.39,TRUE,148.06045
175.11894,C00062,M+H [1+],3.59999999943739e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,L-Arginine,0.004878018,-1.01,TRUE,175.11894
289.11539,C03406,M-H [1-],6.60000000038963e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,Argininosuccinic acid,0.993377048,-0.04,FALSE,289.11539
291.12996,C03406,M+H [1+],8.40000000152941e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,Argininosuccinic acid,0.000176443,-0.99,TRUE,291.12996
298.09686,C00170,M+H [1+],1.60000000164473e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,5'-Methylthioadenosine,0.000187727,-0.52,TRUE,298.09686
399.14455,C00019,M+H [1+],7.39999999836982e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,S-Adenosylmethionine,3e-05,-0.82,TRUE,399.14455
766.1079,C00010,M-H [1-],2.39999999394058e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,Coenzyme A,0.003192,-1.2,FALSE,766.1079
784.1499,C00016,M-H [1-],7.60000000354921e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,FAD,0.0003438,-1.11,FALSE,784.1499
808.11823,C00024,M-H [1-],0.000293999999939842,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,Acetyl-CoA,0.001821828,-0.79,FALSE,808.11823
87.00877,C00022,M-H [1-],4.5999999997548e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,Pyruvic acid,0.000431622,-1.44,FALSE,87.00877
135.02991,C01620,M-H [1-],1.40000000214968e-05,Ascorbate (Vitamin C) and Aldarate Metabolism,mfn1v10path110,29,Matched.Compound,Threonic acid,0.965577526,0.04,FALSE,135.02991
173.00915,C00425,M-H [1-],8.00000000822365e-06,Ascorbate (Vitamin C) and Aldarate Metabolism,mfn1v10path110,29,Matched.Compound,C00425,0.890044082,-0.07,FALSE,173.00915
191.01972,C00818,M-H2O-H [1-],0.000510000000019772,Ascorbate (Vitamin C) and Aldarate Metabolism,mfn1v10path110,29,Matched.Compound,Glucaric acid,0.684269605,0.09,FALSE,191.01972
191.01972,C04575,M-H [1-],3.99999998990097e-06,Ascorbate (Vitamin C) and Aldarate Metabolism,mfn1v10path110,29,Matched.Compound,Diketogulonic acid,0.684269605,0.09,FALSE,191.01972
191.01973,C00818,M-H2O-H [1-],0.000520000000022947,Ascorbate (Vitamin C) and Aldarate Metabolism,mfn1v10path110,29,Matched.Compound,Glucaric acid,0.908922515,0.19,FALSE,191.01973
191.01973,C04575,M-H [1-],6.00000001327317e-06,Ascorbate (Vitamin C) and Aldarate Metabolism,mfn1v10path110,29,Matched.Compound,Diketogulonic acid,0.908922515,0.19,FALSE,191.01973
195.05101,C00800,M-H [1-],1.40000000214968e-05,Ascorbate (Vitamin C) and Aldarate Metabolism,mfn1v10path110,29,Matched.Compound,Gulonic acid,0.001226582,0.58,FALSE,195.05101
195.05102,C00800,M-H [1-],4.00000001832268e-06,Ascorbate (Vitamin C) and Aldarate Metabolism,mfn1v10path110,29,Matched.Compound,Gulonic acid,7.46e-10,-6.19,FALSE,195.05102
306.07649,C00051,M-H [1-],3.40000000278451e-05,Ascorbate (Vitamin C) and Aldarate Metabolism,mfn1v10path110,29,Matched.Compound,Glutathione,3.87e-05,-1.43,FALSE,306.07649
613.15941,C00127,M+H [1+],0.000133999999889056,Ascorbate (Vitamin C) and Aldarate Metabolism,mfn1v10path110,29,Matched.Compound,Oxidized glutathione,5.47e-05,-1.8,TRUE,613.15941
613.15942,C00127,M+H [1+],0.000143999999863809,Ascorbate (Vitamin C) and Aldarate Metabolism,mfn1v10path110,29,Matched.Compound,Oxidized glutathione,0.01612591,-0.75,TRUE,613.15942
104.07061,C02356,M+H [1+],3.39999999994234e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,L-alpha-Aminobutyric acid,0.001126831,-0.29,TRUE,104.07061
104.07061,C00334,M+H [1+],3.39999999994234e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,gamma-Aminobutyric acid,0.001126831,-0.29,TRUE,104.07061
116.07059,CE4788,M+H [1+],1.80000000113978e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,CE4788,0.000192438,-0.67,TRUE,116.07059
116.07059,C00148,M+H [1+],1.39999999930751e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,Proline,0.000192438,-0.67,TRUE,116.07059
128.03531,C01879,M-H [1-],1.39999999930751e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,Pyroglutamic acid,0.002510792,-0.68,FALSE,128.03531
128.03531,C02238,M-H [1-],9.99999997475243e-07,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,C02238,0.002510792,-0.68,FALSE,128.03531
128.03531,C04281,M-H [1-],1.39999999930751e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,Pyrroline hydroxycarboxylic acid,0.002510792,-0.68,FALSE,128.03531
128.03531,C04282,M-H [1-],1.39999999930751e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,1-Pyrroline-4-hydroxy-2-carboxylate,0.002510792,-0.68,FALSE,128.03531
128.0706,C02946,M-H2O+H [1+],2.35332300064783e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,4-Acetamidobutanoic acid,0.010645162,-0.71,TRUE,128.0706
128.07061,C02946,M-H2O+H [1+],3.35332299812308e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,4-Acetamidobutanoic acid,0.591044686,0.16,TRUE,128.07061
130.05097,C01165,M-H [1-],4.5999999997548e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,L-Glutamic gamma-semialdehyde,0.638338765,-0.13,FALSE,130.05097
130.05097,C01157,M-H [1-],4.5999999997548e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,4-Hydroxyproline,0.638338765,-0.13,FALSE,130.05097
130.05097,C03440,M-H [1-],4.5999999997548e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,cis-4-Hydroxy-D-proline,0.638338765,-0.13,FALSE,130.05097
130.05098,C01165,M-H [1-],5.60000000007221e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,L-Glutamic gamma-semialdehyde,0.172958473,0.22,FALSE,130.05098
130.05098,C01157,M-H [1-],5.60000000007221e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,4-Hydroxyproline,0.172958473,0.22,FALSE,130.05098
130.05098,C03440,M-H [1-],5.60000000007221e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,cis-4-Hydroxy-D-proline,0.172958473,0.22,FALSE,130.05098
131.04623,C00152,M-H [1-],5.99999998485146e-06,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,L-Asparagine,0.410848838,0.28,FALSE,131.04623
131.11789,C02714,M+H [1+],1.39999999930751e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,N-Acetylputrescine,0.000649582,-0.71,TRUE,131.11789
