Query.Mass,Matched.Compound,Matched.Form,Mass.Diff
343.12352,C05400,M+H [1+],4.40000000025975e-05
343.12352,C05402,M+H [1+],4.40000000025975e-05
343.12352,C00185,M+H [1+],4.40000000025975e-05
369.35159,C03091,M-H2O+H [1+],1.35332300033042e-05
369.35159,CE2315,M-H2O+H [1+],5.55332300109512e-05
369.35159,C01189,M-H2O+H [1+],1.35332300033042e-05
369.35159,C03845,M-H2O+H [1+],1.35332300033042e-05
369.35159,C00187,M-H2O+H [1+],1.35332300033042e-05
166.04983,CE5538,M+H [1+],3.30000000019481e-05
166.04983,C05653,M+H [1+],4.5999999997548e-05
166.04983,C00847,M-H2O+H [1+],4.64667700157406e-05
120.06552,C05519,M+H [1+],4.40000000025975e-05
120.06552,C00188,M+H [1+],4.40000000025975e-05
180.10189,C09642,M+H [1+],1.39999999930751e-05
180.10189,C05588,M-H2O+H [1+],1.35332300033042e-05
160.09684,C03087,M+H [1+],6.40000000089458e-05
196.09682,C16586,M+H [1+],4.40000000310192e-05
196.09682,CE2173,M+H [1+],7.11200016212388e-07
76.03932,C00037,M+H [1+],4.40000000025975e-05
251.0696,C00669,M+H [1+],2.4000000024671e-05
128.07061,C04092,M+H [1+],3.39999999994234e-05
128.07061,C00450,M+H [1+],3.39999999994234e-05
128.07061,C03239,M-H2O+H [1+],3.35332299812308e-05
128.07061,C02946,M-H2O+H [1+],3.35332299812308e-05
128.07061,C04076,M-H2O+H [1+],3.35332299812308e-05
194.04478,C04185,M+H [1+],4.00000001832268e-06
194.04478,CE5278,M+H [1+],1.99999999495049e-06
194.04478,C01693,M+H [1+],4.00000001832268e-06
147.07642,C00064,M+H [1+],4.40000000310192e-05
147.07642,C05100,M+H [1+],4.40000000310192e-05
147.07642,C00819,M+H [1+],4.40000000310192e-05
266.0884,C00387,M-H2O+H [1+],2.35332299780566e-05
510.39185,C04317,M+H [1+],4.89546000039809e-05
132.06552,C03341,M+H [1+],4.40000000025975e-05
132.06552,C01165,M+H [1+],4.40000000025975e-05
132.06552,C01157,M+H [1+],4.40000000025975e-05
132.06552,C00430,M+H [1+],4.40000000025975e-05
132.06552,C03440,M+H [1+],4.40000000025975e-05
132.06552,C01110,M+H [1+],4.40000000025975e-05
318.12961,C04540,M-H2O+H [1+],3.35332300096525e-05
195.05102,C00257,M-H [1-],4.00000001832268e-06
195.05102,C00800,M-H [1-],4.00000001832268e-06
219.07751,C00643,M-H [1-],1.40000000214968e-05
219.07751,C07501,M-H2O-H [1-],0.000499999999988177
132.03023,C00049,M-H [1-],5.99999998485146e-06
