Query.Mass,Matched.Compound,Matched.Form,Mass.Diff
362.05066,C18239,M-H [1-],6.40E-05
192.06662,C16595,M-H [1-],4.00E-06
192.06662,C16587,M-H [1-],4.00E-06
211.00131,C00117,M-H2O-H [1-],0.0005
211.00131,C00620,M-H2O-H [1-],0.0005
211.00131,C00199,M-H2O-H [1-],0.0005
211.00131,C00231,M-H2O-H [1-],0.0005
151.02616,C00385,M-H [1-],3.60E-05
460.32803,C01747,M-H [1-],6.00E-06
460.32803,C03108,M-H [1-],6.00E-06
131.04623,C02642,M-H [1-],6.00E-06
131.04623,C00152,M-H [1-],6.00E-06
836.14989,C00136,M-H [1-],6.60E-05
836.14989,C00630,M-H [1-],6.60E-05
87.00877,C00022,M-H [1-],4.60E-05
87.00877,C00222,M-H [1-],4.60E-05
309.03974,C19586,M-H2O-H [1-],0.00017
309.03974,C16756,M-H2O-H [1-],0.00017
309.03974,C19595,M-H2O-H [1-],0.00017
309.03974,C19585,M-H2O-H [1-],0.00017
104.03532,C00065,M-H [1-],4.00E-06
104.03532,C00740,M-H [1-],4.00E-06
323.02862,C00105,M-H [1-],4.00E-06
235.03943,C05844,M-H2O-H [1-],0.00052
191.01973,C00311,M-H [1-],6.00E-06
191.01973,C00158,M-H [1-],6.00E-06
191.01973,C00818,M-H2O-H [1-],0.00052
305.01807,C00105,M-H2O-H [1-],0.00056
304.03401,C00055,M-H2O-H [1-],0.0005
440.13236,C00504,M-H [1-],6.40E-05
283.0684,C01762,M-H [1-],2.40E-05
184.98565,C00631,M-H [1-],2.60E-05
184.98565,C00197,M-H [1-],2.60E-05
784.1499,C00016,M-H [1-],7.60E-05
157.03669,C02350,M-H [1-],3.40E-05
514.28451,C05122,M-H [1-],8.60E-05
166.97508,C00074,M-H [1-],4.40E-05
204.06663,C05660,M-H [1-],6.00E-06
586.05929,C01222,M-H [1-],3.40E-05
586.05929,C00096,M-H2O-H [1-],0.00048
219.07751,C00643,M-H [1-],1.40E-05
219.07751,D00536,M-H2O-H [1-],0.0005
219.07751,C07501,M-H2O-H [1-],0.0005
498.28944,C05465,M-H [1-],8.40E-05
111.02001,C00106,M-H [1-],1.40E-05
279.23295,C01595,M-H [1-],2.60E-05
154.06221,C00135,M-H [1-],1.40E-05
283.26422,C01530,M-H [1-],4.00E-06
164.07169,C00079,M-H [1-],3.40E-05
255.23295,C00249,M-H [1-],2.60E-05
175.03603,C00438,M-H [1-],6.00E-06
281.2486,C00712,M-H [1-],2.40E-05
179.05612,C00221,M-H [1-],4.00E-06
179.05612,C00267,M-H [1-],4.00E-06
179.05612,C00095,M-H [1-],4.00E-06
179.05612,C00159,M-H [1-],4.00E-06
179.05612,C01720,M-H [1-],4.00E-06
179.05612,C00124,M-H [1-],4.00E-06
179.05612,C00984,M-H [1-],4.00E-06
179.05612,C00031,M-H [1-],4.00E-06
179.05612,C00137,M-H [1-],4.00E-06
305.01805,C00105,M-H2O-H [1-],0.00054
295.09357,C00921,M-H2O-H [1-],0.00074
199.17035,C02679,M-H [1-],2.60E-05
448.30684,C05466,M-H [1-],1.60E-05
174.04079,C01042,M-H [1-],3.40E-05
,C03406,1,
,C00099,2,
,C00041,3,
,C00213,4,
,C02700,5,
,C16612,6,
,C00025,7,
,C05938,8,
,C00217,9,
,C00956,10,
,C00329,11,
,C01035,12,
,C00301,13,
,C00519,14,
,C16586,15,
,C02305,16,
,C16584,17,
,C16582,18,
,C16622,19,
,C01205,20,
,C00334,21,
,C01026,22,
,C02356,23,
,C03284,24,
,C00019,25,
,C01233,26,
,C00300,27,
,C00789,28,
,C00439,29,
,C00148,30,
,C00763,31,
,C00170,32,
,C12270,33,
,C00037,34,
,C05589,35,
,C00788,36,
,C02990,37,
,C02714,38,
,C00450,39,
,C04076,40,
,C02946,41,
,C00127,42,
,C16577,43,
,C02939,44,
,C15980,45,
,C03793,46,
,C05648,47,
,C00307,48,
,C00319,49,
,C02934,50,
,C00002,51,
,C00286,52,
,C05635,53,
,C16596,54,
,C16591,55,
,C01189,56,
,C03845,57,
,C00187,58,
,C00082,59,
,C00212,60,
,C00330,61,
,C00250,62,
,C00386,63,
,C00188,64,
,C01236,65,
,C00345,66,
,C00064,67,
,C21029,68,
,C00819,69,
,C03771,70,
,C00669,71,
,C00437,72,
,C00430,73,
,C01157,74,
,C01165,75,
,C05147,76,
,C03440,77,
,C01110,78,
,C00836,79,
,C00062,80,
,C00792,81,
,C01693,82,
,C04185,83,
,C00407,84,
,C00123,85,
,C01152,86,
,C00255,87,
,C00089,88,
,C05402,89,
,C05400,90,
,C01235,91,
,C00243,92,
,C00185,93,
,C01083,94,
,C00208,95,
,C00252,96,
,C00387,97,
,C01561,98,
,C05455,99,
,C05453,100,
,C06341,101,
,C15520,102,
,C05445,103,
,C15518,104,
,C05499,105,
,C05501,106,
,C00328,107,
,C05647,108,
,C00931,109,
,C00153,110,
,C05828,111,
,C00547,112,
,C00314,113,
,C05588,114,
,C05634,115,
,C00954,116,
,C16595,117,
,C16587,118,
,C05653,119,
,C00847,120,
,C21016,121,
,C21015,122,
,C00026,123,
,C00352,124,
,C00357,125,
,C04501,126,
,C18060,127,
,C04257,128,
,C00354,129,
,C00665,130,
,C03785,131,
,C01231,132,
,C01220,133,
,C04063,134,
,C04062,135,
