"","Pathway_Total","Hits","P_val","P_adj","NES",""
"Vitamin H (biotin) metabolism","5","2","0.7895","1","-0.8067","C00120;C00020"
"Mono-unsaturated fatty acid beta-oxidation","19","4","0.8095","1","-0.818","C00016;C00024;C00010;C00020"
"Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation","19","4","0.8095","1","-0.818","C00010;C00024;C00016;C00630"
"Linoleate metabolism","46","7","0.8222","1","0.7387","C00127;C04230;C08261;C00051;C00015;C01595;C00167"
"Prostaglandin formation from arachidonate","78","6","0.8352","1","0.7095","C00425;C13856;C00051;C00020;C00010;C00024"
"Porphyrin metabolism","43","9","0.8478","1","0.6933","C05520;C00430;C00010;C00037;C00015;C00016;C00931;C00425;C00167"
"Saturated fatty acids beta-oxidation","36","7","0.8556","1","0.6896","C00024;C02990;C00318;C00010;C00016;C00136;C00249"
"Xenobiotics metabolism","110","10","0.9043","1","0.6174","C00054;C00051;C00015;C06424;C00249;C00167;C02679;C14862;C14871;C13645"
"Di-unsaturated fatty acid beta-oxidation","26","5","0.9091","1","0.6512","C00024;C00020;C00010;C00016;C01595"
"Glutamate metabolism","15","9","0.913","1","0.6393","C00025;C00026;C00127;C00041;C00022;C00334;C00064;C00051;C00669"
"Arachidonic acid metabolism","95","8","0.9239","1","0.641","C00025;C00024;C00020;C00010;C00016;C00127;C00051;C00037"
"Fatty acid oxidation","35","3","0.9667","1","-0.6671","C00024;C00010;C00016"
"Histidine metabolism","33","13","0.9895","1","0.4407","C00025;C00024;C00026;C00020;C00439;C00099;C00051;C00010;C05828;C00019;C00135;C00222;C00386"
"N-Glycan biosynthesis","48","14","1","1","0","C00105;C00063;C00325;C00112;C00055;C00052;C00096;C00159;C00035;C00015;C03862;C00029;C00031;C00043"
"Glycolysis and Gluconeogenesis","49","19","1","1","0","C00149;C00024;C00035;C05378;C00103;C00022;C00579;C00668;C00092;C00020;C00010;C00111;C00031;C00354;C00118;C00074;C00197;C00085;C00665;C05345;C01231;C00631;C00221;C01172;C00267;C00661;C00044;C00186"
"Glycosphingolipid biosynthesis - ganglioseries","62","9","1","1","0","C00124;C00035;C01582;C00054;C00055;C00052;C00015;C00325;C00203"
"Pyruvate Metabolism","20","9","1","1","0","C00010;C00149;C00256;C00024;C00022;C00186;C03451;C00051;C00111;C00661"
"Sialic acid metabolism","107","13","1","1","0","C05401;C01582;C00221;C04257;C00074;C04006;C00243;C00065;C00270;C00267;C01177;C00124;C00055;C03546;C00137;C06373"
"Chondroitin sulfate degradation","37","1","1","1","0","C00124"
"Hexose phosphorylation","20","9","1","1","0","C00159;C00329;C00031;C02965;C00275;C00085;C00095;C01083;C00089;C00092;C00738;C00352"
