Query.Mass,Matched.Compound,Matched.Form,Mass.Diff,Pathway.Name,Pathway.ID,Pathway.Compound.Total,Pathway.Match.By,Matched.Compound.Name,p.value,t.score,pos_inx,Feature.ID
766.1079,C00010,M-H [1-],2.39999999394058e-05,Arachidonic acid metabolism,mfn1v10path108,95,Matched.Compound,Coenzyme A,0.074613198,-0.44,FALSE,766.1079
784.1499,C00016,M-H [1-],7.60000000354921e-05,Arachidonic acid metabolism,mfn1v10path108,95,Matched.Compound,FAD,0.445406552,-0.13,FALSE,784.1499
808.11823,C00024,M-H [1-],0.000293999999939842,Arachidonic acid metabolism,mfn1v10path108,95,Matched.Compound,Acetyl-CoA,0.002146583,-0.66,FALSE,808.11823
116.07059,C00763,M+H [1+],1.39999999930751e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,D-Proline,0.002531811,-0.43,TRUE,116.07059
116.07059,C00148,M+H [1+],1.39999999930751e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,Proline,0.002531811,-0.43,TRUE,116.07059
128.03531,C04281,M-H [1-],1.39999999930751e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,Pyrroline hydroxycarboxylic acid,0.029570355,-0.35,FALSE,128.03531
128.0706,C02946,M-H2O+H [1+],2.35332300064783e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,4-Acetamidobutanoic acid,0.3068359,-0.2,TRUE,128.0706
128.07061,C02946,M-H2O+H [1+],3.35332299812308e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,4-Acetamidobutanoic acid,0.019529904,-0.42,TRUE,128.07061
130.05097,C01165,M-H [1-],4.5999999997548e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,L-Glutamic gamma-semialdehyde,1.3e-05,1.58,FALSE,130.05097
130.05097,C01157,M-H [1-],4.5999999997548e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,4-Hydroxyproline,1.3e-05,1.58,FALSE,130.05097
130.05098,C01165,M-H [1-],5.60000000007221e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,L-Glutamic gamma-semialdehyde,8.55e-06,1.73,FALSE,130.05098
130.05098,C01157,M-H [1-],5.60000000007221e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,4-Hydroxyproline,8.55e-06,1.73,FALSE,130.05098
131.11789,C02714,M+H [1+],1.39999999930751e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,N-Acetylputrescine,0.019520974,-0.39,TRUE,131.11789
132.03023,C00049,M-H [1-],5.99999998485146e-06,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,L-Aspartic acid,0.005455575,-0.61,FALSE,132.03023
132.06552,C01165,M+H [1+],4.40000000025975e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,L-Glutamic gamma-semialdehyde,0.150808536,-0.1,TRUE,132.06552
132.06552,C01157,M+H [1+],4.40000000025975e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,4-Hydroxyproline,0.150808536,-0.1,TRUE,132.06552
145.01429,C00026,M-H [1-],6.59999999754746e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,Oxoglutaric acid,3.65e-05,-0.73,FALSE,145.01429
146.04588,C00025,M-H [1-],4.40000000025975e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,Glutamic acid,4.78e-07,2.79,FALSE,146.04588
146.04588,C05938,M-H [1-],4.40000000025975e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,L-4-Hydroxyglutamate semialdehyde,4.78e-07,2.79,FALSE,146.04588
146.08119,C02946,M+H [1+],1.39999999930751e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,4-Acetamidobutanoic acid,0.11346052,-0.31,TRUE,146.08119
147.07642,C00064,M+H [1+],4.40000000310192e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,Glutamine,0.1136006,-0.18,TRUE,147.07642
148.06045,C00025,M+H [1+],2.59999999911997e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,Glutamic acid,9.56e-05,-0.55,TRUE,148.06045
148.06045,C05938,M+H [1+],2.59999999911997e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,L-4-Hydroxyglutamate semialdehyde,9.56e-05,-0.55,TRUE,148.06045
175.11894,C00062,M+H [1+],3.59999999943739e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,L-Arginine,0.209374376,-0.18,TRUE,175.11894
289.11539,C03406,M-H [1-],6.60000000038963e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,Argininosuccinic acid,6.44e-14,6.53,FALSE,289.11539
291.12996,C03406,M+H [1+],8.40000000152941e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,Argininosuccinic acid,8.42e-11,5.15,TRUE,291.12996
298.09686,C00170,M+H [1+],1.60000000164473e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,5'-Methylthioadenosine,0.00442227,-0.55,TRUE,298.09686
399.14455,C00019,M+H [1+],7.39999999836982e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,S-Adenosylmethionine,0.000855724,-0.5,TRUE,399.14455
766.1079,C00010,M-H [1-],2.39999999394058e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,Coenzyme A,0.074613198,-0.44,FALSE,766.1079
784.1499,C00016,M-H [1-],7.60000000354921e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,FAD,0.445406552,-0.13,FALSE,784.1499
808.11823,C00024,M-H [1-],0.000293999999939842,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,Acetyl-CoA,0.002146583,-0.66,FALSE,808.11823
87.00877,C00022,M-H [1-],4.5999999997548e-05,Arginine and Proline Metabolism,mfn1v10path109,45,Matched.Compound,Pyruvic acid,0.18021595,-0.15,FALSE,87.00877
135.02991,C01620,M-H [1-],1.40000000214968e-05,Ascorbate (Vitamin C) and Aldarate Metabolism,mfn1v10path110,29,Matched.Compound,Threonic acid,0.01009763,-0.29,FALSE,135.02991
173.00915,C00425,M-H [1-],8.00000000822365e-06,Ascorbate (Vitamin C) and Aldarate Metabolism,mfn1v10path110,29,Matched.Compound,C00425,0.001243577,-1.07,FALSE,173.00915
191.01972,C00818,M-H2O-H [1-],0.000510000000019772,Ascorbate (Vitamin C) and Aldarate Metabolism,mfn1v10path110,29,Matched.Compound,Glucaric acid,0.002958972,-0.72,FALSE,191.01972
191.01972,C04575,M-H [1-],3.99999998990097e-06,Ascorbate (Vitamin C) and Aldarate Metabolism,mfn1v10path110,29,Matched.Compound,Diketogulonic acid,0.002958972,-0.72,FALSE,191.01972
191.01973,C00818,M-H2O-H [1-],0.000520000000022947,Ascorbate (Vitamin C) and Aldarate Metabolism,mfn1v10path110,29,Matched.Compound,Glucaric acid,0.292059975,-0.57,FALSE,191.01973
191.01973,C04575,M-H [1-],6.00000001327317e-06,Ascorbate (Vitamin C) and Aldarate Metabolism,mfn1v10path110,29,Matched.Compound,Diketogulonic acid,0.292059975,-0.57,FALSE,191.01973
195.05101,C00800,M-H [1-],1.40000000214968e-05,Ascorbate (Vitamin C) and Aldarate Metabolism,mfn1v10path110,29,Matched.Compound,Gulonic acid,0.000640493,-0.68,FALSE,195.05101
195.05102,C00800,M-H [1-],4.00000001832268e-06,Ascorbate (Vitamin C) and Aldarate Metabolism,mfn1v10path110,29,Matched.Compound,Gulonic acid,0.00077029,-0.86,FALSE,195.05102
306.07649,C00051,M-H [1-],3.40000000278451e-05,Ascorbate (Vitamin C) and Aldarate Metabolism,mfn1v10path110,29,Matched.Compound,Glutathione,0.004091129,-0.59,FALSE,306.07649
613.15941,C00127,M+H [1+],0.000133999999889056,Ascorbate (Vitamin C) and Aldarate Metabolism,mfn1v10path110,29,Matched.Compound,Oxidized glutathione,0.021493262,-0.65,TRUE,613.15941
613.15942,C00127,M+H [1+],0.000143999999863809,Ascorbate (Vitamin C) and Aldarate Metabolism,mfn1v10path110,29,Matched.Compound,Oxidized glutathione,0.053636244,-0.69,TRUE,613.15942
104.07061,C02356,M+H [1+],3.39999999994234e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,L-alpha-Aminobutyric acid,0.000735898,-0.34,TRUE,104.07061
104.07061,C00334,M+H [1+],3.39999999994234e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,gamma-Aminobutyric acid,0.000735898,-0.34,TRUE,104.07061
116.07059,CE4788,M+H [1+],1.80000000113978e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,CE4788,0.002531811,-0.43,TRUE,116.07059
116.07059,C00148,M+H [1+],1.39999999930751e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,Proline,0.002531811,-0.43,TRUE,116.07059
128.03531,C01879,M-H [1-],1.39999999930751e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,Pyroglutamic acid,0.029570355,-0.35,FALSE,128.03531
128.03531,C02238,M-H [1-],9.99999997475243e-07,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,C02238,0.029570355,-0.35,FALSE,128.03531
128.03531,C04281,M-H [1-],1.39999999930751e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,Pyrroline hydroxycarboxylic acid,0.029570355,-0.35,FALSE,128.03531
128.03531,C04282,M-H [1-],1.39999999930751e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,1-Pyrroline-4-hydroxy-2-carboxylate,0.029570355,-0.35,FALSE,128.03531
128.0706,C02946,M-H2O+H [1+],2.35332300064783e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,4-Acetamidobutanoic acid,0.3068359,-0.2,TRUE,128.0706
128.07061,C02946,M-H2O+H [1+],3.35332299812308e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,4-Acetamidobutanoic acid,0.019529904,-0.42,TRUE,128.07061
130.05097,C01165,M-H [1-],4.5999999997548e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,L-Glutamic gamma-semialdehyde,1.3e-05,1.58,FALSE,130.05097
130.05097,C01157,M-H [1-],4.5999999997548e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,4-Hydroxyproline,1.3e-05,1.58,FALSE,130.05097
130.05097,C03440,M-H [1-],4.5999999997548e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,cis-4-Hydroxy-D-proline,1.3e-05,1.58,FALSE,130.05097
130.05098,C01165,M-H [1-],5.60000000007221e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,L-Glutamic gamma-semialdehyde,8.55e-06,1.73,FALSE,130.05098
130.05098,C01157,M-H [1-],5.60000000007221e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,4-Hydroxyproline,8.55e-06,1.73,FALSE,130.05098
130.05098,C03440,M-H [1-],5.60000000007221e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,cis-4-Hydroxy-D-proline,8.55e-06,1.73,FALSE,130.05098
131.04623,C00152,M-H [1-],5.99999998485146e-06,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,L-Asparagine,0.139935869,-0.11,FALSE,131.04623
131.11789,C02714,M+H [1+],1.39999999930751e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,N-Acetylputrescine,0.019520974,-0.39,TRUE,131.11789
132.03023,C00049,M-H [1-],5.99999998485146e-06,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,L-Aspartic acid,0.005455575,-0.61,FALSE,132.03023
132.03023,C00402,M-H [1-],5.99999998485146e-06,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,D-Aspartic acid,0.005455575,-0.61,FALSE,132.03023
132.06552,C01165,M+H [1+],4.40000000025975e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,L-Glutamic gamma-semialdehyde,0.150808536,-0.1,TRUE,132.06552
132.06552,C01157,M+H [1+],4.40000000025975e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,4-Hydroxyproline,0.150808536,-0.1,TRUE,132.06552
132.06552,C03440,M+H [1+],4.40000000025975e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,cis-4-Hydroxy-D-proline,0.150808536,-0.1,TRUE,132.06552
145.01429,C00026,M-H [1-],6.59999999754746e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,Oxoglutaric acid,3.65e-05,-0.73,FALSE,145.01429
146.04588,C00025,M-H [1-],4.40000000025975e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,Glutamic acid,4.78e-07,2.79,FALSE,146.04588
146.04588,C05938,M-H [1-],4.40000000025975e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,L-4-Hydroxyglutamate semialdehyde,4.78e-07,2.79,FALSE,146.04588
146.08119,C02946,M+H [1+],1.39999999930751e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,4-Acetamidobutanoic acid,0.11346052,-0.31,TRUE,146.08119
146.09246,C01035,M+H [1+],8.39999999868724e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,4-Guanidinobutanoic acid,0.00014771,-0.75,TRUE,146.09246
147.02987,C02630,M-H [1-],5.40000000341934e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,2-Hydroxyglutarate,0.001849281,-0.56,FALSE,147.02987
147.07642,C00064,M+H [1+],4.40000000310192e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,Glutamine,0.1136006,-0.18,TRUE,147.07642
148.06045,C00025,M+H [1+],2.59999999911997e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,Glutamic acid,9.56e-05,-0.55,TRUE,148.06045
148.06045,C05938,M+H [1+],2.59999999911997e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,L-4-Hydroxyglutamate semialdehyde,9.56e-05,-0.55,TRUE,148.06045
175.1077,C00437,M+H [1+],2.39999999962492e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,N2-Acetylornithine,0.135019826,-0.4,TRUE,175.1077
175.11894,C00062,M+H [1+],3.59999999943739e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,L-Arginine,0.209374376,-0.18,TRUE,175.11894
188.17573,C01029,M+H [1+],4.5999999997548e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,N8-Acetylspermidine,0.123608851,-0.34,TRUE,188.17573
188.17573,C00612,M+H [1+],4.5999999997548e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,N1-Acetylspermidine,0.123608851,-0.34,TRUE,188.17573
191.06624,C05829,M+H [1+],3.59999999943739e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,Carglumic acid,0.961911354,0.02,TRUE,191.06624
